model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 T-Roc,2019,Automatic,13904,Diesel,145,49.6,2,25000
 T-Roc,2019,Automatic,4562,Diesel,145,49.6,2,26883
 T-Roc,2019,Manual,7414,Diesel,145,50.4,2,20000
 T-Roc,2019,Automatic,4825,Petrol,145,32.5,2,33492
 T-Roc,2019,Semi-Auto,6500,Petrol,150,39.8,1.5,22900
 T-Roc,2020,Manual,10,Petrol,145,42.2,1.5,31895
 T-Roc,2020,Manual,10,Petrol,145,42.2,1.5,27895
 T-Roc,2020,Semi-Auto,10,Petrol,145,32.5,2,39495
 T-Roc,2019,Manual,10,Petrol,145,44.1,1,21995
 T-Roc,2019,Manual,10,Petrol,145,42.2,1.5,23285
 T-Roc,2019,Semi-Auto,10,Petrol,145,39.8,1.5,23985
 T-Roc,2019,Manual,10,Petrol,145,42.2,1.5,23585
 T-Roc,2020,Semi-Auto,10,Petrol,145,39.8,1.5,25785
 T-Roc,2019,Semi-Auto,1069,Petrol,145,39.8,1.5,23995
 T-Roc,2018,Manual,21645,Petrol,145,53.3,1.5,17495
 T-Roc,2018,Manual,16972,Petrol,145,53.3,1.5,21495
 T-Roc,2018,Manual,15100,Petrol,145,44.1,1,18995
 T-Roc,2018,Manual,1380,Petrol,150,55.4,1,18995
 T-Roc,2019,Semi-Auto,2500,Petrol,145,32.5,2,33785
 T-Roc,2020,Semi-Auto,5000,Petrol,145,39.8,1.5,23790
 T-Roc,2019,Manual,12300,Petrol,145,42.2,1.5,19995
 T-Roc,2020,Manual,2500,Petrol,145,44.1,1,21690
 T-Roc,2019,Manual,5540,Petrol,145,42.2,1.5,23290
 T-Roc,2019,Manual,3500,Petrol,145,42.2,1.5,24790
 T-Roc,2018,Manual,16251,Petrol,145,53.3,1.5,19995
 T-Roc,2019,Manual,5127,Petrol,145,42.2,1.5,20290
 T-Roc,2019,Semi-Auto,3500,Petrol,145,32.5,2,33990
 T-Roc,2018,Manual,22584,Petrol,145,44.1,1,17685
 T-Roc,2020,Manual,1955,Diesel,150,50.4,2,24495
 T-Roc,2018,Manual,10456,Petrol,150,55.4,1,17995
 T-Roc,2020,Semi-Auto,2500,Petrol,145,39.8,1.5,28290
 T-Roc,2018,Manual,6908,Petrol,145,55.4,1,17495
 T-Roc,2019,Manual,7216,Diesel,145,50.4,1.6,22990
 T-Roc,2019,Manual,4003,Diesel,145,46.3,2,22995
 T-Roc,2019,Manual,5,Diesel,150,50.4,1.6,21498
 T-Roc,2018,Manual,14837,Petrol,145,53.3,1.5,17995
 T-Roc,2018,Manual,14337,Petrol,145,53.3,1.5,17995
 T-Roc,2019,Manual,3392,Diesel,145,50.4,2,22230
 T-Roc,2018,Manual,6753,Petrol,145,53.3,1.5,18695
 T-Roc,2019,Semi-Auto,2423,Diesel,145,49.6,2,25990
 T-Roc,2018,Manual,6753,Petrol,145,53.3,1.5,18695
 T-Roc,2019,Manual,4224,Petrol,145,42.2,1.5,23999
 T-Roc,2019,Manual,6144,Diesel,145,50.4,2,24490
 T-Roc,2019,Manual,5345,Diesel,145,50.4,2,24490
 T-Roc,2019,Semi-Auto,4233,Diesel,145,49.6,2,25990
 T-Roc,2018,Manual,14837,Petrol,145,53.3,1.5,17995
 T-Roc,2018,Manual,14337,Petrol,145,53.3,1.5,17995
 T-Roc,2019,Semi-Auto,5027,Petrol,145,39.8,1.5,23999
 T-Roc,2019,Manual,3392,Diesel,145,50.4,2,22230
 T-Roc,2019,Manual,2520,Petrol,145,42.2,1.5,23999
 T-Roc,2019,Automatic,3028,Petrol,145,32.5,2,36799
 T-Roc,2018,Manual,9048,Petrol,145,53.3,1.5,22990
 T-Roc,2018,Manual,7621,Petrol,145,53.3,1.5,20995
 T-Roc,2019,Manual,4387,Diesel,145,50.4,1.6,21995
 T-Roc,2018,Manual,10826,Petrol,150,55.4,1,17995
 T-Roc,2018,Manual,10823,Petrol,145,53.3,1.5,19450
 T-Roc,2019,Manual,10,Diesel,145,50.4,1.6,20998
 T-Roc,2020,Manual,322,Diesel,145,50.4,2,27990
 T-Roc,2019,Manual,8249,Diesel,145,50.4,1.6,22900
 T-Roc,2018,Manual,33555,Petrol,145,53.3,1.5,16990
 T-Roc,2019,Manual,10,Diesel,145,50.4,2,21998
 T-Roc,2019,Semi-Auto,2423,Diesel,145,49.6,2,25990
 T-Roc,2019,Manual,6144,Diesel,145,50.4,2,24490
 T-Roc,2019,Manual,5345,Diesel,145,50.4,2,24490
 T-Roc,2019,Semi-Auto,4233,Diesel,145,49.6,2,25990
 T-Roc,2018,Manual,10990,Petrol,145,53.3,1.5,18995
 T-Roc,2018,Manual,10398,Petrol,145,53.3,1.5,18495
 T-Roc,2018,Manual,6482,Diesel,145,50.4,1.6,18595
 T-Roc,2018,Manual,19578,Petrol,145,55.4,1,17195
 T-Roc,2019,Semi-Auto,1000,Petrol,145,32.5,2,31995
 T-Roc,2019,Semi-Auto,1000,Petrol,145,32.5,2,31995
 T-Roc,2018,Manual,6482,Diesel,145,50.4,1.6,18595
 T-Roc,2018,Manual,19578,Petrol,145,55.4,1,17195
 T-Roc,2018,Manual,10398,Petrol,145,53.3,1.5,18495
 T-Roc,2018,Manual,21081,Petrol,145,53.3,1.5,20498
 T-Roc,2019,Semi-Auto,1045,Diesel,145,49.6,2,21995
 T-Roc,2019,Semi-Auto,3779,Diesel,145,49.6,2,22495
 T-Roc,2019,Semi-Auto,1790,Petrol,145,32.5,2,31495
 T-Roc,2019,Manual,2000,Petrol,145,42.2,1.5,21495
 T-Roc,2018,Manual,6884,Petrol,145,53.3,1.5,18995
 T-Roc,2019,Semi-Auto,1566,Petrol,150,32.5,2,32998
 T-Roc,2019,Manual,10535,Petrol,145,42.2,1.5,19798
 T-Roc,2019,Manual,6187,Diesel,145,50.4,2,21998
 T-Roc,2019,Manual,7000,Diesel,145,50.4,1.6,19695
 T-Roc,2019,Manual,6712,Diesel,145,46.3,2,21998
 T-Roc,2018,Manual,12043,Petrol,145,53.3,1.5,20998
 T-Roc,2019,Manual,100,Petrol,145,42.2,1.5,21495
 T-Roc,2019,Manual,6000,Diesel,145,50.4,1.6,21095
 T-Roc,2019,Semi-Auto,5773,Diesel,150,49.6,2,24495
